id1	id2	close-friends?	inlab-proximity	outlab-proximity
0	1	0	4.0	0.0
0	2	0	1.5	0.5
0	3	1.0	1.5	0.0
0	4	1.0	2.5	0.0
0	5	0	2.0	0.0
0	6	0	2.0	0.0
0	7	0	1.0	0.0
0	8	1.0	4.0	1.5
0	10	0	2.5	0.0
0	11	0	2.0	0.0
0	12	0	1.5	0.0
0	13	0	3.0	0.0
0	14	0	1.0	0.0
0	15	0	1.0	0.0
0	16	0	1.0	0.0
0	17	1.0	5.0	2.5
0	18	0	2.0	0.0
0	19	0	1.0	0.0
0	20	0	1.0	0.0
0	21	0	0.5	0.0
0	23	0	3.5	0.0
0	24	0	2.5	0.5
0	25	0	0.0	1.0
0	27	0	1.5	0.5
0	28	0	0.5	0.0
0	29	0	2.0	0.0
0	31	0	0.0	0.5
0	32	0	3.0	1.0
0	34	0	1.0	0.0
0	36	0	0.0	0.5
0	39	0	1.0	0.0
0	40	0	0.5	0.0
0	45	0	0.5	0.0
0	46	0	4.5	0.0
0	50	0	0.5	0.0
0	53	0	1.0	0.0
0	54	0	3.0	0.0
0	55	0	0.0	1.0
0	56	0	1.0	0.0
0	60	0	1.0	0.0
0	63	0	1.0	0.0
0	64	0	0.5	0.0
0	67	0	1.5	0.0
0	68	0	2.5	0.5
0	71	0	0.0	1.0
0	72	0	0.5	0.0
0	73	0	3.0	0.0
0	74	1.0	1.0	1.5
0	75	0	1.0	0.5
0	76	0	0.5	0.0
0	78	0	0.5	0.0
0	79	0	3.0	0.0
0	81	0	1.5	0.0
0	84	0	0.5	0.0
0	85	0	2.5	0.0
0	86	0	2.5	0.0
0	87	0	3.5	0.5
0	88	0	2.5	0.0
0	89	1.0	2.5	1.5
1	5	0	2.5	0.0
1	8	0	3.0	0.0
1	12	0	1.5	0.5
1	15	0	1.5	1.0
1	17	1.0	4.0	1.0
1	18	0	1.0	0.0
1	19	0	3.5	0.0
1	20	0	2.0	0.0
1	23	0	2.5	0.0
1	27	0	0.5	0.0
1	28	0	3.5	0.0
1	34	0	1.5	0.0
1	40	0	1.0	0.0
1	56	0	3.5	0.0
1	60	0	3.0	0.0
1	68	0	3.5	1.5
1	75	0	2.5	0.5
1	77	0	2.0	0.0
1	81	1.0	2.0	1.5
1	85	0	2.0	0.0
1	87	0	3.0	0.5
2	6	1.0	4.5	3.0
2	8	0	2.5	1.0
2	10	1.0	4.5	3.0
2	14	0	1.0	0.0
2	15	0	0.5	0.0
2	16	1.0	2.0	2.0
2	20	0	2.5	2.0
2	23	0	2.0	0.0
